ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent of people tested who tested positive
11369,Airport/East Elmhurst,Queens,1585,4346.96,438.81,37.69
11370,Jackson Heights/Rikers Island,Queens,1318,4023.36,149.58,36.07
11372,Jackson Heights,Queens,2488,3976.8,367.63,35.99
11373,Elmhurst,Queens,3189,3433.62,305.78,34.37
11374,Rego Park,Queens,1064,2530.46,199.77,28.17
11375,Forest Hills,Queens,1490,2111.89,250.88,27.56
11377,Woodside,Queens,2196,2539.65,200.07,29.36
11378,Maspeth,Queens,728,2104.44,187.9,25.74
11379,Middle Village,Queens,794,2193.64,221.02,27.53
11385,Glendale/Ridgewood,Queens,2130,2069.37,114.64,30.05
11411,Cambria Heights,Queens,676,3298.48,175.66,34.81
11412,St. Albans,Queens,1226,3115.87,190.61,33.91
11413,Laurelton/Rosedale,Queens,1300,2978.37,148.92,34.32
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,797,2819.69,183.97,34.02
11415,Kew Gardens,Queens,528,2745.1,218.36,29.13
11416,Ozone Park,Queens,703,2641.43,187.87,33.78
11417,Ozone Park,Queens,879,2810.94,111.93,31.72
11418,Richmond Hill,Queens,1070,2808.02,238.81,32.83
11419,Richmond Hill/South Ozone Park,Queens,1179,2318.64,169.13,32.77
11420,South Ozone Park,Queens,1340,2767.7,198.28,33.62
11421,Woodhaven,Queens,1179,2793.21,222.7,33.46
11422,Rosedale,Queens,963,2855.73,121.58,32.18
11423,Hollis/Holliswood,Queens,1062,3314.49,284.01,34.16
11426,Bellerose,Queens,494,2425.93,142.41,31.79
11427,Bellerose/Hollis Hills/Holliswood,Queens,773,3330.12,189.55,32.22
11428,Queens Village,Queens,666,3445.88,206.96,36.27
11429,Queens Village,Queens,926,3302.86,217.57,33.65
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1779,2815.08,354.46,33.83
11433,Jamaica,Queens,932,2586.32,199.8,32.64
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2053,3039.86,226.55,31.97
11435,Briarwood/Jamaica,Queens,1606,2785.11,234.12,30.47
11436,South Jamaica/South Ozone Park,Queens,514,2470.27,177.82,31.66
11691,Edgemere/Far Rockaway,Queens,2290,3536.19,457.08,32.21
11692,Arverne/Edgemere,Queens,597,2967.16,407.55,30.15
11693,Arverne/Broad Channel,Queens,326,2633.01,201.92,31.8
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,697,3424.09,368.45,29.68
11697,Breezy Point,Queens,107,3025.43,84.83,9.67
